127.0.0.1, 2018-04-25 16:43:52, GET, /, HTTP/1.1, 303, 0.008229
127.0.0.1, 2018-04-25 16:43:54, GET, /welcome/default/index, HTTP/1.1, 200, 1.298691
127.0.0.1, 2018-04-25 16:43:54, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.006199
127.0.0.1, 2018-04-25 16:43:54, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.009637
127.0.0.1, 2018-04-25 16:43:54, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.015048
127.0.0.1, 2018-04-25 16:43:54, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.015910
127.0.0.1, 2018-04-25 16:43:54, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.008236
127.0.0.1, 2018-04-25 16:43:54, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.029678
127.0.0.1, 2018-04-25 16:43:54, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.001435
127.0.0.1, 2018-04-25 16:43:54, GET, /welcome/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.002074
127.0.0.1, 2018-04-25 16:43:54, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.001492
127.0.0.1, 2018-04-25 16:43:54, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.002036
127.0.0.1, 2018-04-25 16:43:54, GET, /welcome/static/images/favicon.png, HTTP/1.1, 200, 0.018165
127.0.0.1, 2018-04-25 16:43:54, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.003410
127.0.0.1, 2018-04-25 16:43:54, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.002309
127.0.0.1, 2018-04-25 16:43:54, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.026727
127.0.0.1, 2018-04-25 16:43:54, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.038784
127.0.0.1, 2018-04-25 16:50:42, GET, /start/default/index, HTTP/1.1, 404, 0.002517
127.0.0.1, 2018-04-25 16:50:42, GET, /favicon.ico, HTTP/1.1, 400, 0.000350
127.0.0.1, 2018-04-25 16:50:42, GET, /favicon.ico, HTTP/1.1, 400, 0.000574
127.0.0.1, 2018-04-25 16:50:45, GET, /start/, HTTP/1.1, 404, 0.000545
127.0.0.1, 2018-04-25 16:52:52, GET, /start/, HTTP/1.1, 404, 0.002226
127.0.0.1, 2018-04-25 16:52:54, GET, /start/, HTTP/1.1, 404, 0.000464
127.0.0.1, 2018-04-25 16:58:33, GET, /start/, HTTP/1.1, 200, 0.782051
127.0.0.1, 2018-04-25 16:58:33, GET, /start/static/css/stupid.css, HTTP/1.1, 200, 0.004353
127.0.0.1, 2018-04-25 16:58:33, GET, /start/static/css/calendar.css, HTTP/1.1, 200, 0.007821
127.0.0.1, 2018-04-25 16:58:33, GET, /start/static/css/web2py.css, HTTP/1.1, 200, 0.005520
127.0.0.1, 2018-04-25 16:58:33, GET, /start/static/css/custom.css, HTTP/1.1, 200, 0.010926
127.0.0.1, 2018-04-25 16:58:33, GET, /start/static/css/myapp.css, HTTP/1.1, 200, 0.004577
127.0.0.1, 2018-04-25 16:58:33, GET, /start/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 200, 0.001945
127.0.0.1, 2018-04-25 16:58:33, GET, /start/static/js/marked.min.js, HTTP/1.1, 200, 0.001335
127.0.0.1, 2018-04-25 16:58:33, GET, /start/static/js/calendar.js, HTTP/1.1, 200, 0.108390
127.0.0.1, 2018-04-25 16:58:33, GET, /start/static/js/web2py.js, HTTP/1.1, 200, 0.085213
127.0.0.1, 2018-04-25 16:58:33, GET, /start/static/js/jquery.js, HTTP/1.1, 200, 0.149198
127.0.0.1, 2018-04-25 16:58:33, GET, /start/static/js/vue.min.js, HTTP/1.1, 200, 0.131369
127.0.0.1, 2018-04-25 16:58:33, GET, /start/static/font-awesome-4.6.3/fonts/fontawesome-webfont.woff2, HTTP/1.1, 200, 0.011310
127.0.0.1, 2018-04-25 16:58:39, GET, /start/default/user, HTTP/1.1, 303, 0.044005
127.0.0.1, 2018-04-25 16:58:40, GET, /start/default/user/login, HTTP/1.1, 200, 0.084905
127.0.0.1, 2018-04-25 16:58:40, GET, /start/static/css/stupid.css, HTTP/1.1, 200, 0.001517
127.0.0.1, 2018-04-25 16:58:40, GET, /start/static/css/custom.css, HTTP/1.1, 200, 0.003905
127.0.0.1, 2018-04-25 16:58:40, GET, /start/static/css/myapp.css, HTTP/1.1, 200, 0.002843
127.0.0.1, 2018-04-25 16:58:40, GET, /start/static/css/web2py.css, HTTP/1.1, 200, 0.001196
